,precision,recall,f1-score,support
bahasa_kasar,0.5945945945945946,0.6666666666666666,0.6285714285714286,33.0
hate_speech,0.6,0.7272727272727273,0.6575342465753424,33.0
kritik_wajar,0.6153846153846154,0.7272727272727273,0.6666666666666666,33.0
normal_konstruktif,0.8333333333333334,0.7575757575757576,0.7936507936507936,33.0
personal_harassment,0.5833333333333334,0.42424242424242425,0.49122807017543857,33.0
sexual_harassment,0.7428571428571429,0.7878787878787878,0.7647058823529411,33.0
threat_intimidation,0.9230769230769231,0.7272727272727273,0.8135593220338984,33.0
accuracy,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6883116883116883
macro avg,0.6989399917971346,0.6883116883116883,0.6879880585752155,231.0
weighted avg,0.6989399917971346,0.6883116883116883,0.6879880585752155,231.0
