tau_review,margin_threshold,auto_coverage_pct,abstention_rate_pct,auto_accuracy_pct,auto_error_pct,high_risk_auto_recall_pct
0.3,0.0,93.97,6.03,67.43,32.57,70.21
0.3,0.03,89.66,10.34,69.71,30.29,71.74
0.3,0.06,87.93,12.07,70.59,29.41,72.53
0.3,0.09,83.62,16.38,72.68,27.32,75.29
0.3,0.12,82.33,17.67,73.3,26.7,75.29
0.3,0.15,80.6,19.4,73.8,26.2,75.9
0.3,0.18,78.88,21.12,73.77,26.23,75.31
0.3,0.21,72.84,27.16,76.33,23.67,76.71
0.3,0.24,69.83,30.17,76.54,23.46,75.71
0.35,0.0,90.09,9.91,69.38,30.62,74.16
0.35,0.03,87.5,12.5,70.94,29.06,75.0
0.35,0.06,86.21,13.79,71.5,28.5,75.0
0.35,0.09,83.62,16.38,72.68,27.32,75.29
0.35,0.12,82.33,17.67,73.3,26.7,75.29
0.35,0.15,80.6,19.4,73.8,26.2,75.9
0.35,0.18,78.88,21.12,73.77,26.23,75.31
0.35,0.21,72.84,27.16,76.33,23.67,76.71
0.35,0.24,69.83,30.17,76.54,23.46,75.71
0.4,0.0,87.93,12.07,70.59,29.41,75.0
0.4,0.03,85.78,14.22,71.86,28.14,75.86
0.4,0.06,84.91,15.09,72.59,27.41,75.86
0.4,0.09,83.19,16.81,73.06,26.94,75.29
0.4,0.12,81.9,18.1,73.68,26.32,75.29
0.4,0.15,80.17,19.83,74.19,25.81,75.9
0.4,0.18,78.45,21.55,74.18,25.82,75.31
0.4,0.21,72.84,27.16,76.33,23.67,76.71
0.4,0.24,69.83,30.17,76.54,23.46,75.71
0.45,0.0,80.17,19.83,74.19,25.81,76.54
0.45,0.03,78.45,21.55,75.27,24.73,77.5
0.45,0.06,78.02,21.98,75.69,24.31,77.5
0.45,0.09,76.72,23.28,75.84,24.16,76.92
0.45,0.12,75.86,24.14,76.7,23.3,76.92
0.45,0.15,75.0,25.0,76.44,23.56,76.62
0.45,0.18,74.57,25.43,76.3,23.7,76.62
0.45,0.21,71.12,28.88,76.36,23.64,76.06
